time,temperature
25.03.25 12-42-26,25.127
25.03.25 12-42-26,25.443
25.03.25 12-42-27,25.341
25.03.25 12-42-27,25.207
25.03.25 12-42-28,25.398
25.03.25 12-42-28,25.382
25.03.25 12-42-29,25.348
25.03.25 12-42-29,25.324
25.03.25 12-42-30,25.387
25.03.25 12-42-30,25.225
25.03.25 12-42-31,25.279
25.03.25 12-42-31,25.528
25.03.25 12-42-32,25.329
25.03.25 12-42-32,25.375
25.03.25 12-42-33,25.111
25.03.25 12-42-33,25.309
25.03.25 12-42-34,25.179
25.03.25 12-42-34,25.193
25.03.25 12-42-35,25.134
25.03.25 12-42-35,25.374
25.03.25 12-42-36,25.257
25.03.25 12-42-36,25.192
25.03.25 12-42-37,25.205
25.03.25 12-42-37,25.315
25.03.25 12-42-38,25.283
25.03.25 12-42-38,25.031
25.03.25 12-42-39,25.103
25.03.25 12-42-39,25.189
25.03.25 12-42-40,25.197
25.03.25 12-42-40,25.130
25.03.25 12-42-41,25.183
25.03.25 12-42-41,25.284
25.03.25 12-42-42,25.211
25.03.25 12-42-42,25.199
25.03.25 12-42-43,25.170
25.03.25 12-42-53,25.123
25.03.25 12-42-53,25.348
25.03.25 12-42-54,25.223
25.03.25 12-42-54,25.410
25.03.25 12-42-55,25.235
25.03.25 12-42-55,25.148
25.03.25 12-42-56,25.169
25.03.25 12-42-56,25.261
25.03.25 12-42-57,25.246
25.03.25 12-42-57,25.357
25.03.25 12-42-58,25.288
25.03.25 12-42-58,25.186
25.03.25 12-42-59,25.178
25.03.25 12-42-59,25.174
25.03.25 12-43-00,25.243
25.03.25 12-43-00,25.045
25.03.25 12-43-01,25.336
25.03.25 12-43-01,25.281
25.03.25 12-43-02,25.370
25.03.25 12-43-02,25.243
25.03.25 12-43-03,25.336
25.03.25 12-43-03,25.302
25.03.25 12-43-04,25.416
25.03.25 12-43-04,25.202
25.03.25 12-43-05,25.359
25.03.25 12-43-05,25.225
25.03.25 12-43-06,25.352
25.03.25 12-43-06,25.392
25.03.25 12-43-07,25.186
25.03.25 12-43-07,25.264
25.03.25 12-43-08,25.302
25.03.25 12-43-08,25.214
25.03.25 12-43-09,25.310
25.03.25 12-43-09,25.170
25.03.25 12-43-10,25.268
25.03.25 12-43-10,25.333
25.03.25 12-43-11,25.355
25.03.25 12-43-11,25.327
25.03.25 12-43-12,25.287
25.03.25 12-43-12,25.245
25.03.25 12-43-13,25.326
25.03.25 12-43-13,25.362
25.03.25 12-43-14,25.229
25.03.25 12-43-15,25.101
25.03.25 12-43-15,25.157
25.03.25 12-43-16,25.183
25.03.25 12-43-16,25.033
25.03.25 12-43-17,25.287
25.03.25 12-43-17,25.287
25.03.25 12-43-18,25.310
25.03.25 12-43-18,25.207
25.03.25 12-43-19,25.230
25.03.25 12-43-19,25.218
25.03.25 12-43-20,25.067
25.03.25 12-43-20,25.033
25.03.25 12-43-21,25.189
25.03.25 12-43-21,25.244
25.03.25 12-43-22,25.192
25.03.25 12-43-22,25.223
25.03.25 12-43-23,25.311
25.03.25 12-43-23,25.253
25.03.25 12-43-24,25.110
25.03.25 12-43-24,25.198
25.03.25 12-43-25,25.112
25.03.25 12-43-25,25.295
25.03.25 12-43-26,25.215
25.03.25 12-43-26,25.107
25.03.25 12-43-27,25.393
25.03.25 12-43-27,25.221
25.03.25 12-43-28,25.181
25.03.25 12-43-28,25.362
25.03.25 12-43-29,25.215
25.03.25 12-43-29,25.182
25.03.25 12-43-30,25.367
25.03.25 12-43-30,25.206
25.03.25 12-43-31,25.215
25.03.25 12-43-31,25.260
25.03.25 12-43-32,25.413
25.03.25 12-43-32,25.223
25.03.25 12-43-33,25.032
25.03.25 12-43-33,25.222
25.03.25 12-43-34,25.398
25.03.25 12-43-34,25.110
25.03.25 12-43-35,25.339
25.03.25 12-43-35,25.354
25.03.25 12-43-36,25.123
25.03.25 12-43-36,25.233
25.03.25 12-43-37,25.095
25.03.25 12-43-37,25.209
25.03.25 12-43-38,25.245
25.03.25 12-43-38,25.253
25.03.25 12-43-39,25.239
25.03.25 12-43-39,25.108
25.03.25 12-43-40,25.304
25.03.25 12-43-40,25.338
25.03.25 12-43-41,25.144
25.03.25 12-43-41,25.224
25.03.25 12-43-42,25.441
25.03.25 12-43-43,25.158
25.03.25 12-43-43,25.245
25.03.25 12-43-44,25.140
25.03.25 12-43-44,25.337
25.03.25 12-43-45,25.191
25.03.25 12-43-45,25.274
25.03.25 12-43-46,25.245
25.03.25 12-43-46,25.204
25.03.25 12-43-47,25.188
25.03.25 12-43-47,25.273
25.03.25 12-43-48,25.267
25.03.25 12-43-48,25.400
25.03.25 12-43-49,25.237
25.03.25 12-43-49,25.363
25.03.25 12-43-50,25.232
25.03.25 12-43-50,25.293
25.03.25 12-43-51,25.196
25.03.25 12-43-51,25.309
25.03.25 12-43-52,25.264
25.03.25 12-43-52,25.261
25.03.25 12-43-53,25.291
25.03.25 12-43-53,25.201
25.03.25 12-43-54,25.385
25.03.25 12-43-54,25.163
25.03.25 12-43-55,25.128
25.03.25 12-43-55,25.349
25.03.25 12-43-56,25.276
25.03.25 12-43-56,25.256
25.03.25 12-43-57,25.105
25.03.25 12-43-57,25.232
25.03.25 12-43-58,25.170
25.03.25 12-43-59,25.251
25.03.25 12-43-59,25.303
25.03.25 12-44-00,25.317
25.03.25 12-44-00,25.225
25.03.25 12-44-01,25.228
25.03.25 12-44-01,25.233
25.03.25 12-44-02,25.167
25.03.25 12-44-02,25.068
25.03.25 12-44-03,25.154
25.03.25 12-44-03,25.243
25.03.25 12-44-04,25.274
25.03.25 12-44-04,25.240
25.03.25 12-44-05,25.354
25.03.25 12-44-05,25.032
25.03.25 12-44-06,25.130
25.03.25 12-44-06,25.336
25.03.25 12-44-07,25.251
25.03.25 12-44-07,25.344
25.03.25 12-44-08,25.268
25.03.25 12-44-08,25.339
25.03.25 12-44-09,25.224
25.03.25 12-44-09,25.267
25.03.25 12-44-10,25.351
25.03.25 12-44-10,25.182
25.03.25 12-44-11,25.182
25.03.25 12-44-11,25.169
25.03.25 12-44-12,25.346
25.03.25 12-44-12,25.361
25.03.25 12-44-13,25.162
25.03.25 12-44-13,25.272
25.03.25 12-44-14,25.300
25.03.25 12-44-14,25.257
25.03.25 12-44-15,25.292
25.03.25 12-44-15,25.257
25.03.25 12-44-16,25.285
25.03.25 12-44-16,25.284
25.03.25 12-44-17,25.151
25.03.25 12-44-17,25.168
25.03.25 12-44-18,25.308
25.03.25 12-44-18,25.262
25.03.25 12-44-19,25.212
25.03.25 12-44-19,25.371
25.03.25 12-44-20,25.158
25.03.25 12-44-20,25.265
25.03.25 12-44-21,25.105
25.03.25 12-44-21,25.240
25.03.25 12-44-22,25.101
25.03.25 12-44-22,25.145
25.03.25 12-44-23,25.222
25.03.25 12-44-23,25.244
25.03.25 12-44-24,25.389
25.03.25 12-44-24,25.202
25.03.25 12-44-25,25.363
25.03.25 12-44-25,25.101
25.03.25 12-44-26,25.189
25.03.25 12-44-26,25.330
25.03.25 12-44-27,25.374
25.03.25 12-44-28,25.104
25.03.25 12-44-28,25.214
25.03.25 12-44-29,25.303
25.03.25 12-44-29,25.129
25.03.25 12-44-30,25.189
25.03.25 12-44-30,25.344
25.03.25 12-44-31,25.444
25.03.25 12-44-31,25.389
25.03.25 12-44-32,25.231
25.03.25 12-44-32,25.305
25.03.25 12-44-33,25.262
25.03.25 12-44-33,25.273
25.03.25 12-44-34,25.135
25.03.25 12-44-34,25.319
25.03.25 12-44-35,25.267
25.03.25 12-44-35,25.200
25.03.25 12-44-36,25.106
25.03.25 12-44-36,25.316
25.03.25 12-44-37,25.335
25.03.25 12-44-37,25.382
25.03.25 12-44-38,25.177
25.03.25 12-44-38,25.292
25.03.25 12-44-39,25.279
25.03.25 12-44-39,25.120
25.03.25 12-44-40,25.281
25.03.25 12-44-40,25.080
25.03.25 12-44-41,25.247
25.03.25 12-44-41,25.191
25.03.25 12-44-42,25.155
25.03.25 12-44-42,25.278
25.03.25 12-44-43,25.223
25.03.25 12-44-43,25.048
25.03.25 12-44-44,25.305
25.03.25 12-44-44,25.287
25.03.25 12-44-45,25.163
25.03.25 12-44-45,25.178
25.03.25 12-44-46,25.235
25.03.25 12-44-46,25.275
25.03.25 12-44-47,25.433
25.03.25 12-44-47,25.294
25.03.25 12-44-48,25.214
25.03.25 12-44-48,25.298
25.03.25 12-44-49,25.309
25.03.25 12-44-49,25.208
25.03.25 12-44-50,25.268
25.03.25 12-44-50,25.197
25.03.25 12-44-51,25.328
25.03.25 12-44-51,25.209
25.03.25 12-44-52,25.334
25.03.25 12-44-52,25.286
25.03.25 12-44-53,25.031
25.03.25 12-44-53,25.336
25.03.25 12-44-54,25.214
25.03.25 12-44-54,25.262
25.03.25 12-44-55,25.232
25.03.25 12-44-55,25.136
25.03.25 12-44-56,25.163
25.03.25 12-44-57,25.231
25.03.25 12-44-57,25.160
25.03.25 12-44-58,25.264
25.03.25 12-44-58,25.164
25.03.25 12-44-59,25.168
25.03.25 12-44-59,25.144
25.03.25 12-45-00,24.990
25.03.25 12-45-00,25.287
25.03.25 12-45-01,25.049
25.03.25 12-45-01,25.255
25.03.25 12-45-02,25.293
25.03.25 12-45-02,25.225
25.03.25 12-45-03,25.112
25.03.25 12-45-03,25.300
25.03.25 12-45-04,25.118
25.03.25 12-45-04,25.129
25.03.25 12-45-05,25.191
25.03.25 12-45-05,25.058
25.03.25 12-45-06,25.265
25.03.25 12-45-06,25.170
25.03.25 12-45-07,25.122
25.03.25 12-45-07,25.174
25.03.25 12-45-08,25.262
25.03.25 12-45-08,25.029
25.03.25 12-45-09,25.230
25.03.25 12-45-09,25.169
25.03.25 12-45-10,25.215
25.03.25 12-45-10,25.209
25.03.25 12-45-11,25.064
25.03.25 12-45-11,25.171
25.03.25 12-45-12,25.337
25.03.25 12-45-12,24.979
25.03.25 12-45-13,25.119
25.03.25 12-45-13,25.171
25.03.25 12-45-14,25.102
25.03.25 12-45-14,25.073
25.03.25 12-45-15,25.046
25.03.25 12-45-15,25.167
25.03.25 12-45-16,25.215
25.03.25 12-45-16,25.211
25.03.25 12-45-17,25.272
25.03.25 12-45-17,25.324
25.03.25 12-45-18,25.231
25.03.25 12-45-18,25.249
25.03.25 12-45-19,25.188
25.03.25 12-45-19,25.303
25.03.25 12-45-20,25.094
25.03.25 12-45-20,25.244
25.03.25 12-45-21,25.125
25.03.25 12-45-21,24.938
25.03.25 12-45-22,25.300
25.03.25 12-45-22,25.355
25.03.25 12-45-23,25.224
25.03.25 12-45-23,25.237
25.03.25 12-45-24,25.255
