gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
5684,13.98,23.19,995.81,24.29,12.03.25 13-04-09,0.01
5684,13.92,23.19,995.82,24.05,12.03.25 13-04-12,-0.01
5684,13.92,23.19,995.83,23.85,12.03.25 13-04-15,0.03
5684,13.91,23.19,995.83,23.7,12.03.25 13-04-18,0.02
5684,13.92,23.19,995.84,23.59,12.03.25 13-04-21,0.03
5684,13.94,23.19,995.84,23.51,12.03.25 13-04-24,0.04
5684,13.99,23.19,995.84,23.46,12.03.25 13-04-27,0.04
5684,14.0,23.19,995.84,23.41,12.03.25 13-04-30,0.02
5684,14.01,23.19,995.83,23.38,12.03.25 13-04-34,0.04
5684,14.09,23.19,995.84,23.36,12.03.25 13-04-37,0.04
6139,14.24,23.19,995.86,23.34,12.03.25 13-04-40,0.03
6443,14.33,23.19,995.89,23.33,12.03.25 13-04-43,0.01
6893,14.37,23.19,995.9,23.32,12.03.25 13-04-46,0.05
7405,14.31,23.19,995.92,23.32,12.03.25 13-04-48,-0.02
7835,14.24,23.19,995.93,23.32,12.03.25 13-04-51,0.02
8331,14.18,23.25,995.94,23.32,12.03.25 13-04-54,0.02
8762,14.14,23.19,995.95,23.32,12.03.25 13-04-57,0.02
9114,14.09,23.19,995.97,23.32,12.03.25 13-05-00,0.01
9529,14.13,23.19,995.97,23.32,12.03.25 13-05-03,0.01
9975,14.22,23.25,995.98,23.32,12.03.25 13-05-06,0.02
10322,14.35,23.19,995.98,23.32,12.03.25 13-05-09,0.03
10738,14.47,23.19,995.98,23.33,12.03.25 13-05-12,0.03
11212,14.5,23.19,995.98,23.33,12.03.25 13-05-18,0.03
11153,14.62,23.19,995.98,23.32,12.03.25 13-05-21,0.01
11590,14.75,23.19,995.96,23.32,12.03.25 13-05-24,0.04
12495,14.83,23.19,995.96,23.33,12.03.25 13-05-27,0.03
12895,14.82,23.19,995.96,23.33,12.03.25 13-05-30,0.02
13289,14.93,23.19,995.97,23.34,12.03.25 13-05-33,0.06
13663,15.03,23.19,995.97,23.34,12.03.25 13-05-36,0.04
14106,15.14,23.19,995.97,23.35,12.03.25 13-05-38,0.05
14558,15.14,23.19,995.98,23.36,12.03.25 13-05-41,0.06
15083,15.06,23.25,995.98,23.36,12.03.25 13-05-44,0.01
15421,14.99,23.19,995.98,23.36,12.03.25 13-05-47,0.01
15775,14.95,23.19,995.98,23.37,12.03.25 13-05-50,0.03
16120,14.95,23.19,995.98,23.37,12.03.25 13-05-53,0.04
16558,14.94,23.25,995.98,23.37,12.03.25 13-05-56,0.02
