gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
50513,24.76,23.75,1000.11,24.92,25.03.25 12-39-43,0.02
48613,24.44,23.75,1000.12,24.67,25.03.25 12-39-46,0.02
46511,24.54,23.75,1000.12,24.48,25.03.25 12-39-50,0.02
45812,25.4,23.81,1000.12,24.34,25.03.25 12-39-53,0.03
46360,25.81,23.75,1000.12,24.23,25.03.25 12-39-55,0.04
48039,25.58,23.75,1000.12,24.15,25.03.25 12-39-58,-0.01
48976,25.25,23.75,1000.13,24.09,25.03.25 12-40-01,0.02
49718,24.97,23.75,1000.13,24.04,25.03.25 12-40-04,0.04
50068,24.74,23.75,1000.13,24.01,25.03.25 12-40-07,0.03
50393,24.62,23.75,1000.13,23.98,25.03.25 12-40-10,0.05
50572,24.55,23.75,1000.13,23.96,25.03.25 12-40-13,0.01
50844,24.45,23.75,1000.13,23.95,25.03.25 12-40-16,0.05
50753,24.38,23.69,1000.13,23.93,25.03.25 12-40-19,0.03
50844,24.4,23.75,1000.13,23.92,25.03.25 12-40-21,0.03
50874,24.39,23.69,1000.13,23.92,25.03.25 12-40-24,0.06
50127,24.42,23.69,1000.12,23.91,25.03.25 12-40-28,0.03
49863,24.98,23.69,1000.11,23.91,25.03.25 12-40-31,0.09
50274,25.22,23.75,1000.12,23.9,25.03.25 12-40-33,0.08
50662,25.15,23.69,1000.13,23.9,25.03.25 12-40-36,0.08
50783,24.98,23.69,1000.13,23.9,25.03.25 12-40-39,0.07
50996,24.83,23.69,1000.13,23.89,25.03.25 12-40-42,0.09
51210,24.87,23.69,1000.13,23.89,25.03.25 12-40-45,0.07
51612,24.78,23.69,1000.12,23.89,25.03.25 12-40-48,0.07
51832,24.67,23.69,1000.12,23.89,25.03.25 12-40-51,0.08
51926,24.55,23.69,1000.11,23.88,25.03.25 12-40-54,0.09
51958,24.45,23.69,1000.12,23.88,25.03.25 12-40-57,0.1
52599,24.37,23.69,1000.12,23.88,25.03.25 12-41-00,0.08
52892,24.27,23.69,1000.12,23.88,25.03.25 12-41-02,0.06
53623,24.2,23.69,1000.12,23.88,25.03.25 12-41-05,0.1
53322,24.14,23.69,1000.12,23.88,25.03.25 12-41-08,0.08
53189,24.16,23.69,1000.12,23.87,25.03.25 12-41-11,0.07
53691,24.19,23.69,1000.11,23.87,25.03.25 12-41-14,0.09
53522,24.25,23.69,1000.12,23.87,25.03.25 12-41-17,0.07
53758,24.3,23.69,1000.11,23.87,25.03.25 12-41-20,0.08
53962,24.31,23.69,1000.12,23.87,25.03.25 12-41-23,0.08
54065,24.32,23.69,1000.11,23.87,25.03.25 12-41-26,0.11
53623,24.32,23.69,1000.11,23.87,25.03.25 12-41-29,0.09
53388,24.32,23.69,1000.12,23.87,25.03.25 12-41-32,0.07
53422,24.29,23.69,1000.12,23.87,25.03.25 12-41-34,0.09
53123,24.27,23.62,1000.13,23.87,25.03.25 12-41-37,0.09
53024,24.24,23.69,1000.13,23.87,25.03.25 12-41-40,0.08
53090,24.19,23.69,1000.13,23.87,25.03.25 12-41-43,0.07
53860,24.13,23.62,1000.14,23.87,25.03.25 12-41-46,0.11
53623,24.09,23.62,1000.14,23.87,25.03.25 12-41-49,0.08
53860,24.07,23.62,1000.14,23.87,25.03.25 12-41-52,0.1
54168,24.04,23.62,1000.14,23.87,25.03.25 12-41-55,0.1
54724,24.05,23.62,1000.13,23.87,25.03.25 12-41-58,0.08
54444,24.05,23.62,1000.12,23.87,25.03.25 12-42-00,0.11
54271,24.09,23.62,1000.13,23.87,25.03.25 12-42-03,0.08
54410,24.17,23.62,1000.12,23.87,25.03.25 12-42-06,0.07
54271,24.3,23.62,1000.12,23.87,25.03.25 12-42-09,0.05
54584,24.35,23.62,1000.12,23.87,25.03.25 12-42-12,0.07
54340,24.4,23.62,1000.12,23.87,25.03.25 12-42-15,0.06
54829,24.41,23.62,1000.12,23.87,25.03.25 12-42-18,0.07
54759,24.4,23.62,1000.13,23.87,25.03.25 12-42-21,0.06
55184,24.31,23.62,1000.12,23.87,25.03.25 12-42-24,0.05
54829,24.24,23.62,1000.13,23.87,25.03.25 12-42-27,0.05
54971,24.18,23.56,1000.12,23.87,25.03.25 12-42-30,0.1
55113,24.12,23.62,1000.12,23.87,25.03.25 12-42-32,0.06
55113,24.09,23.62,1000.12,23.87,25.03.25 12-42-35,0.08
55255,24.06,23.62,1000.12,23.87,25.03.25 12-42-38,0.08
55148,24.05,23.62,1000.12,23.87,25.03.25 12-42-41,0.08
55761,24.03,23.62,1000.12,23.87,25.03.25 12-42-44,0.1
55688,23.99,23.56,1000.12,23.87,25.03.25 12-42-47,0.09
55797,23.97,23.62,1000.12,23.87,25.03.25 12-42-50,0.09
55471,23.95,23.62,1000.11,23.87,25.03.25 12-42-53,0.1
55944,23.94,23.62,1000.11,23.87,25.03.25 12-42-56,0.1
56054,23.93,23.62,1000.11,23.87,25.03.25 12-42-59,0.07
56687,23.93,23.62,1000.11,23.86,25.03.25 12-43-02,0.09
56649,23.94,23.62,1000.11,23.86,25.03.25 12-43-05,0.1
56649,23.95,23.62,1000.11,23.86,25.03.25 12-43-08,0.11
56313,23.96,23.62,1000.12,23.86,25.03.25 12-43-11,0.11
56313,23.96,23.62,1000.12,23.86,25.03.25 12-43-14,0.08
56350,23.94,23.56,1000.11,23.86,25.03.25 12-43-17,0.09
56838,23.91,23.62,1000.11,23.86,25.03.25 12-43-20,0.1
56537,23.87,23.56,1000.11,23.85,25.03.25 12-43-23,0.08
56574,23.85,23.56,1000.11,23.85,25.03.25 12-43-26,0.07
56725,23.83,23.62,1000.12,23.85,25.03.25 12-43-29,0.1
57334,23.79,23.62,1000.12,23.85,25.03.25 12-43-32,0.09
57219,23.82,23.56,1000.12,23.85,25.03.25 12-43-35,0.08
57373,23.88,23.56,1000.11,23.85,25.03.25 12-43-38,0.08
57373,23.89,23.56,1000.11,23.85,25.03.25 12-43-41,0.07
57605,23.88,23.56,1000.11,23.85,25.03.25 12-43-44,0.09
57181,23.88,23.56,1000.12,23.85,25.03.25 12-43-47,0.09
57219,23.9,23.56,1000.12,23.85,25.03.25 12-43-50,0.11
56952,23.86,23.56,1000.12,23.85,25.03.25 12-43-52,0.09
57605,23.83,23.56,1000.12,23.85,25.03.25 12-43-55,0.06
57879,23.8,23.56,1000.12,23.85,25.03.25 12-43-58,0.09
57840,23.76,23.56,1000.12,23.85,25.03.25 12-44-01,0.05
58354,23.74,23.56,1000.11,23.85,25.03.25 12-44-04,0.08
58756,23.76,23.56,1000.11,23.85,25.03.25 12-44-07,0.07
58634,23.74,23.56,1000.11,23.84,25.03.25 12-44-10,0.1
