gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
111014,13.01,18.75,994.46,23.58,11.03.25 16-27-35,0.03
111304,13.0,18.75,994.45,23.58,11.03.25 16-27-38,0.03
111741,12.99,18.75,994.45,23.58,11.03.25 16-27-41,0.03
112626,12.99,18.81,994.45,23.59,11.03.25 16-27-44,0.0
113676,12.99,18.81,994.45,23.59,11.03.25 16-27-47,0.04
112999,12.99,18.81,994.46,23.59,11.03.25 16-27-53,-0.01
113450,12.99,18.81,994.46,23.58,11.03.25 16-27-56,0.01
112478,12.98,18.81,994.45,23.58,11.03.25 16-27-59,0.02
113374,12.96,18.81,994.44,23.58,11.03.25 16-28-02,0.04
112849,12.97,18.87,994.44,23.58,11.03.25 16-28-04,0.0
113074,12.95,18.87,994.45,23.58,11.03.25 16-28-07,0.05
112849,12.96,18.87,994.45,23.58,11.03.25 16-28-10,0.02
112849,12.95,18.87,994.45,23.58,11.03.25 16-28-14,0.02
112478,12.95,18.94,994.44,23.58,11.03.25 16-28-17,0.0
111741,12.95,18.94,994.44,23.58,11.03.25 16-28-20,0.05
111814,12.95,18.94,994.43,23.58,11.03.25 16-28-23,-0.01
112700,12.95,18.94,994.43,23.58,11.03.25 16-28-26,0.02
113299,12.93,18.94,994.43,23.58,11.03.25 16-28-29,0.02
114132,12.92,18.94,994.43,23.58,11.03.25 16-28-32,0.01
114515,12.92,18.94,994.43,23.58,11.03.25 16-28-35,0.02
115445,12.9,19.0,994.44,23.58,11.03.25 16-28-38,0.03
116948,12.9,19.0,994.44,23.58,11.03.25 16-28-40,0.03
116549,12.92,19.0,994.44,23.58,11.03.25 16-28-43,0.04
117674,12.93,19.0,994.44,23.58,11.03.25 16-28-46,0.02
118326,12.94,19.0,994.44,23.58,11.03.25 16-28-49,0.02
117350,12.94,19.06,994.44,23.58,11.03.25 16-28-52,0.02
115994,12.96,19.06,994.44,23.58,11.03.25 16-28-55,0.04
115445,12.97,19.06,994.44,23.58,11.03.25 16-28-58,0.04
115915,12.99,19.06,994.43,23.59,11.03.25 16-29-01,0.02
116231,12.99,19.06,994.43,23.58,11.03.25 16-29-04,0.05
115994,13.01,19.06,994.44,23.58,11.03.25 16-29-07,0.03
116231,13.02,19.12,994.44,23.58,11.03.25 16-29-09,0.03
116708,13.04,19.12,994.45,23.58,11.03.25 16-29-12,0.01
116390,13.04,19.12,994.45,23.59,11.03.25 16-29-15,0.03
115758,13.05,19.12,994.45,23.59,11.03.25 16-29-18,0.03
113828,13.05,19.12,994.45,23.59,11.03.25 16-29-21,0.03
112478,13.06,19.12,994.45,23.59,11.03.25 16-29-24,0.03
112256,13.05,19.12,994.45,23.59,11.03.25 16-29-27,0.01
114592,13.03,19.19,994.45,23.59,11.03.25 16-29-30,0.03
