core,core2,pipe,water,time
32.0,30.0,-42.0,36.5,11.03.25 15-48-52
32.5,30.0,-42.0,36.5,11.03.25 15-48-55
32.0,30.0,-42.0,36.5,11.03.25 15-48-57
32.0,30.0,-42.5,36.5,11.03.25 15-48-59
32.0,30.0,-42.5,36.5,11.03.25 15-49-02
32.0,30.0,-42.5,36.5,11.03.25 15-49-04
32.0,30.0,-42.5,36.5,11.03.25 15-49-06
32.0,30.0,-42.5,36.5,11.03.25 15-49-08
32.0,30.0,-42.5,36.5,11.03.25 15-49-11
32.0,30.0,-42.5,36.5,11.03.25 15-49-13
32.0,30.0,-42.5,36.5,11.03.25 15-49-15
32.0,30.0,-42.5,36.5,11.03.25 15-49-17
32.0,30.0,-42.5,36.5,11.03.25 15-49-20
32.0,30.0,-42.5,36.5,11.03.25 15-49-22
32.0,30.0,-42.5,36.5,11.03.25 15-49-24
32.0,30.0,-42.5,36.5,11.03.25 15-49-27
32.0,30.0,-42.5,36.5,11.03.25 15-49-29
32.0,30.0,-42.5,36.5,11.03.25 15-49-31
32.0,30.0,-42.5,36.5,11.03.25 15-49-34
32.0,30.0,-42.5,36.5,11.03.25 15-49-36
32.0,30.0,-42.5,36.5,11.03.25 15-49-39
32.0,30.0,-43.0,36.5,11.03.25 15-49-41
32.0,30.0,-43.0,36.5,11.03.25 15-49-43
32.0,30.0,-43.0,36.5,11.03.25 15-49-45
32.0,30.0,-43.0,36.5,11.03.25 15-49-48
32.0,30.0,-43.0,36.5,11.03.25 15-49-50
32.0,30.0,-43.0,36.5,11.03.25 15-49-52
32.0,30.0,-43.0,36.5,11.03.25 15-49-55
32.0,30.0,-43.0,36.5,11.03.25 15-49-57
32.0,30.0,-43.0,36.5,11.03.25 15-50-00
32.0,30.0,-43.0,36.5,11.03.25 15-50-02
32.0,30.0,-42.5,36.5,11.03.25 15-50-04
32.0,30.0,-42.0,36.5,11.03.25 15-50-07
32.0,30.0,-41.5,36.5,11.03.25 15-50-09
32.0,30.0,-40.0,36.5,11.03.25 15-50-11
