core,core2,pipe,water,time
22.5,23.0,23.0,23.0,12.03.25 12-56-51
22.5,23.0,23.0,23.0,12.03.25 12-56-53
22.5,23.0,23.0,23.0,12.03.25 12-56-56
22.5,23.0,23.0,23.0,12.03.25 12-56-58
22.5,23.0,23.0,23.0,12.03.25 12-57-00
22.5,23.0,23.0,23.0,12.03.25 12-57-02
22.5,23.0,23.0,23.0,12.03.25 12-57-05
22.5,23.0,23.0,23.0,12.03.25 12-57-07
22.5,23.0,23.0,23.0,12.03.25 12-57-09
22.5,23.0,23.0,22.5,12.03.25 12-57-12
22.5,23.0,23.0,23.0,12.03.25 12-57-14
22.5,23.0,23.0,23.0,12.03.25 12-57-16
22.5,23.0,23.0,23.0,12.03.25 12-57-19
22.5,23.0,23.0,23.0,12.03.25 12-57-21
22.5,23.0,23.0,23.0,12.03.25 12-57-23
22.5,23.0,23.5,23.0,12.03.25 12-57-26
22.5,23.0,24.0,23.0,12.03.25 12-57-28
22.5,23.0,24.0,23.0,12.03.25 12-57-30
22.5,23.0,24.0,23.0,12.03.25 12-57-32
22.5,23.0,24.0,23.0,12.03.25 12-57-35
22.5,23.0,24.0,23.0,12.03.25 12-57-37
22.5,23.0,24.0,23.0,12.03.25 12-57-39
22.5,23.0,24.5,23.0,12.03.25 12-57-44
22.5,23.0,24.5,33.0,12.03.25 12-57-47
22.5,23.0,24.5,35.5,12.03.25 12-57-49
22.5,23.0,24.5,37.0,12.03.25 12-57-51
22.5,23.0,24.5,38.0,12.03.25 12-57-54
22.5,23.0,24.5,39.0,12.03.25 12-57-56
22.5,23.0,24.5,39.5,12.03.25 12-57-58
22.5,23.0,24.5,40.0,12.03.25 12-58-01
22.5,23.0,24.5,40.5,12.03.25 12-58-03
22.5,23.0,24.5,40.5,12.03.25 12-58-06
22.5,23.0,24.5,41.0,12.03.25 12-58-09
22.5,23.0,24.5,41.0,12.03.25 12-58-11
22.5,23.0,24.5,41.5,12.03.25 12-58-13
22.5,23.0,24.5,41.5,12.03.25 12-58-16
22.5,23.0,24.5,41.5,12.03.25 12-58-18
22.5,23.0,24.5,41.5,12.03.25 12-58-20
22.5,23.0,24.5,41.5,12.03.25 12-58-23
22.5,23.0,24.5,41.5,12.03.25 12-58-25
22.5,23.0,24.5,42.0,12.03.25 12-58-27
22.5,23.0,24.5,42.0,12.03.25 12-58-30
