#group,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,string,double,double,double,double,dateTime:RFC3339,double
#default,,,,,,,,,,,,,
,SSID,bottom_load,device,gas_resistance,humidity,load,location,pipeTemp,pipe_temp,pressure,temperature,time,top_load
,Ståle  sin iPhone,,ESP32,5684,13.98,,,23.19,,995.81,24.29,2025-03-12T13:04:09.7887256Z,0.01
,Ståle  sin iPhone,,ESP32,5684,13.92,,,23.19,,995.82,24.05,2025-03-12T13:04:12.758018907Z,-0.01
,Ståle  sin iPhone,,ESP32,5684,13.92,,,23.19,,995.83,23.85,2025-03-12T13:04:15.720493824Z,0.03
,Ståle  sin iPhone,,ESP32,5684,13.91,,,23.19,,995.83,23.7,2025-03-12T13:04:18.696663763Z,0.02
,Ståle  sin iPhone,,ESP32,5684,13.92,,,23.19,,995.84,23.59,2025-03-12T13:04:21.76672964Z,0.03
,Ståle  sin iPhone,,ESP32,5684,13.94,,,23.19,,995.84,23.51,2025-03-12T13:04:24.718511049Z,0.04
,Ståle  sin iPhone,,ESP32,5684,13.99,,,23.19,,995.84,23.46,2025-03-12T13:04:27.690207488Z,0.04
,Ståle  sin iPhone,,ESP32,5684,14,,,23.19,,995.84,23.41,2025-03-12T13:04:30.791250982Z,0.02
,Ståle  sin iPhone,,ESP32,5684,14.01,,,23.19,,995.83,23.38,2025-03-12T13:04:34.039803265Z,0.04
,Ståle  sin iPhone,,ESP32,5684,14.09,,,23.19,,995.84,23.36,2025-03-12T13:04:37.134590142Z,0.04
,Ståle  sin iPhone,,ESP32,6139,14.24,,,23.19,,995.86,23.34,2025-03-12T13:04:40.201256999Z,0.03
,Ståle  sin iPhone,,ESP32,6443,14.33,,,23.19,,995.89,23.33,2025-03-12T13:04:43.164282805Z,0.01
,Ståle  sin iPhone,,ESP32,6893,14.37,,,23.19,,995.9,23.32,2025-03-12T13:04:46.025734719Z,0.05
