#group,false,false,false,false,false,false,false
#datatype,string,double,double,string,double,dateTime:RFC3339,double
#default,,,,,,,
,SSID,core,core2,device,pipe,time,water
,Ståle  sin iPhone,22,22.5,ESP32-C6,22.5,2025-03-25T12:10:16.6484401Z,22.5
,Ståle  sin iPhone,22,22.5,ESP32-C6,22.5,2025-03-25T12:10:19.523172742Z,22.5
,Ståle  sin iPhone,22,22.5,ESP32-C6,22.5,2025-03-25T12:10:21.856913904Z,22.5
,Ståle  sin iPhone,22,23,ESP32-C6,22.5,2025-03-25T12:10:24.216387422Z,22.5
,Ståle  sin iPhone,22,23,ESP32-C6,22.5,2025-03-25T12:10:26.683810148Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:28.94201481Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:31.183311013Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:33.441677129Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:35.70931854Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:38.036096203Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:40.294135887Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:42.564609858Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:44.912378408Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:10:47.163153251Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:49.421380226Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:51.672245338Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:10:54.023098331Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:10:56.253965897Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:10:58.523354261Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:00.884569317Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:03.134445228Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:05.486939913Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:07.844152942Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:10.101945741Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:12.369643719Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:14.703416677Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:17.056983679Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:19.323153051Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:21.775232845Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:24.017197799Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:26.366253008Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:29.026418849Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:31.280062099Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:33.65405544Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:35.899665257Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:38.153041887Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:40.420072868Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:42.754276575Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:45.037355806Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:47.373123955Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:49.623444021Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:51.881711155Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:54.413110774Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,22.5,2025-03-25T12:11:56.786718138Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:11:59.244464891Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:01.711306062Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:03.96331462Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:06.222222413Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:08.575515019Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:10.831221653Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:13.174159817Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:15.534361825Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:17.884977181Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:20.244273044Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:22.703461715Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:25.364815638Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:27.7172644Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:30.175329819Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:32.541034958Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:34.785218749Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:37.041612042Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:39.402512755Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:42.053274084Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:44.404173549Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:46.756962279Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:49.002960442Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-25T12:12:51.368149331Z,22.5
