Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
1,1,APEX,Motor,11.03.25 15-09-45.csv,173,11.03.25 15-07-00,11.03.25 15-10-59,,-6.4,-11.0,False,False,False,Lett skadd tunge,4.7552140000000005,2.3560000000000003,1,322.11,./main/output/plots/11.03.25 15-09-45.png
1,1,BASIS,Rykk,11.03.25 15-45-53.csv,173,11.03.25 15-45-00,11.03.25 15-46-59,31.0,-25.0,-5.0,True,False,False,,3.4070149999999995,3.155,1,890.25,./main/output/plots/11.03.25 15-45-53.png
1,2,BASIS,Motor,11.03.25 15-14-24.csv,188,11.03.25 15-13-00,11.03.25 15-14-59,30.0,-9.5,-5.0,False,True,False,,7.888199,4.007785999999999,1,644.94,./main/output/plots/11.03.25 15-14-24.png
1,2,APEX,Motor,11.03.25 15-47-59.csv,188,11.03.25 15-47-00,11.03.25 15-48-59,27.0,-22.0,-4.0,True,True,True,dårlig apex,6.208213000000001,4.428206,1,261.34,./main/output/plots/11.03.25 15-47-59.png
1,3,APEX,Motor,11.03.25 15-17-00.csv,225,11.03.25 15-16-00,11.03.25 15-17-59,28.0,-9.2,-4.0,False,True,True,løs hinne som slapp,3.935214,0.0,0,166.9,./main/output/plots/11.03.25 15-17-00.png
1,3,BASIS,Motor,11.03.25 15-52-11.csv,225,11.03.25 15-50-00,11.03.25 15-52-59,33.0,-4.0,-18.0,True,False,False,,5.594213,4.397992,1,41.11,./main/output/plots/11.03.25 15-52-11.png
1,4,APEX,Rykk,11.03.25 15-20-11.csv,224,11.03.25 15-19-00,11.03.25 15-20-59,,-7.0,4.0,False,False,False,,5.351,0.0,0,1035.16,./main/output/plots/11.03.25 15-20-11.png
1,4,BASIS,Rykk,11.03.25 15-54-15.csv,224,11.03.25 15-53-00,11.03.25 15-54-59,34.0,-12.0,-13.0,True,True,False,fint rykk og skade,2.756,2.3440000000000003,1,740.29,./main/output/plots/11.03.25 15-54-15.png
1,5,BASIS,Motor,11.03.25 15-38-13.csv,213,11.03.25 15-36-00,11.03.25 15-38-59,28.0,-11.0,5.0,True,False,False,,6.192213000000001,0.8077870000000003,2,108.72,./main/output/plots/11.03.25 15-38-13.png
1,5,APEX,Rykk,11.03.25 15-55-41.csv,213,11.03.25 15-55-00,11.03.25 15-57-59,34.0,-17.0,-17.0,True,True,False,"Satt godt, lang hold, løs men god apex",6.6080000000000005,6.187984999999999,1,919.81,./main/output/plots/11.03.25 15-55-41.png
