core,core2,pipe,water,time
22.0,22.5,22.5,22.5,25.03.25 12-10-16
22.0,22.5,22.5,22.5,25.03.25 12-10-19
22.0,22.5,22.5,22.5,25.03.25 12-10-21
22.0,23.0,22.5,22.5,25.03.25 12-10-24
22.0,23.0,22.5,22.5,25.03.25 12-10-26
22.5,23.0,22.5,22.5,25.03.25 12-10-28
22.5,23.0,22.5,22.5,25.03.25 12-10-31
22.5,23.0,22.5,22.5,25.03.25 12-10-33
22.5,23.0,22.5,22.5,25.03.25 12-10-35
22.5,23.0,22.5,22.5,25.03.25 12-10-38
22.5,23.0,22.5,22.5,25.03.25 12-10-40
22.5,23.0,22.5,22.5,25.03.25 12-10-42
22.5,23.0,22.5,22.5,25.03.25 12-10-44
22.5,23.0,23.0,22.5,25.03.25 12-10-47
22.5,23.0,22.5,22.5,25.03.25 12-10-49
22.5,23.0,22.5,22.5,25.03.25 12-10-51
22.5,23.0,22.5,22.5,25.03.25 12-10-54
22.5,23.0,23.0,22.5,25.03.25 12-10-56
22.5,23.0,23.0,22.5,25.03.25 12-10-58
22.5,23.0,22.5,22.5,25.03.25 12-11-00
22.5,23.0,22.5,22.5,25.03.25 12-11-03
22.5,23.0,22.5,22.5,25.03.25 12-11-05
22.5,23.0,22.5,22.5,25.03.25 12-11-07
22.5,23.0,23.0,22.5,25.03.25 12-11-10
22.5,23.0,22.5,22.5,25.03.25 12-11-12
22.5,23.0,23.0,22.5,25.03.25 12-11-14
22.5,23.0,22.5,22.5,25.03.25 12-11-17
22.5,23.0,23.0,22.5,25.03.25 12-11-19
22.5,23.0,23.0,22.5,25.03.25 12-11-21
22.5,23.0,22.5,22.5,25.03.25 12-11-24
22.5,23.0,23.0,22.5,25.03.25 12-11-26
22.5,23.0,23.0,22.5,25.03.25 12-11-29
22.5,23.0,23.0,22.5,25.03.25 12-11-31
22.5,23.0,22.5,22.5,25.03.25 12-11-33
22.5,23.0,23.0,22.5,25.03.25 12-11-35
22.5,23.0,22.5,22.5,25.03.25 12-11-38
22.5,23.0,23.0,22.5,25.03.25 12-11-40
22.5,23.0,23.0,22.5,25.03.25 12-11-42
22.5,23.0,22.5,22.5,25.03.25 12-11-45
22.5,23.0,23.0,22.5,25.03.25 12-11-47
22.5,23.0,23.0,22.5,25.03.25 12-11-49
22.5,23.0,23.0,22.5,25.03.25 12-11-51
22.5,23.0,23.0,22.5,25.03.25 12-11-54
22.5,23.0,22.5,22.5,25.03.25 12-11-56
22.5,23.0,23.0,22.5,25.03.25 12-11-59
22.5,23.0,23.0,22.5,25.03.25 12-12-01
22.5,23.0,23.0,22.5,25.03.25 12-12-03
