#group,false,false,false,false
#datatype,string,string,string,dateTime:RFC3339
#default,,,,
,device,object,status,time
,ESP32-C6,pipe,start,2025-03-25T12:15:01.124811583Z
,ESP32-C6,pipe,stop,2025-03-25T12:45:20.076244068Z
,ESP32-C6,pipe,start,2025-03-25T12:45:23.647369596Z
,ESP32-C6,pipe,stop,2025-03-25T12:55:29.679841237Z
,ESP32-C6,pipe,start,2025-03-25T12:55:31.307578441Z
,ESP32-C6,pipe,stop,2025-03-25T13:06:18.83630682Z
,ESP32-C6,pipe,start,2025-03-25T13:06:26.606937238Z
,ESP32-C6,pipe,stop,2025-03-25T13:30:40.248256456Z
,ESP32-C6,pipe,start,2025-03-25T13:30:41.762418296Z
,ESP32-C6,pipe,stop,2025-03-25T13:34:29.089680507Z
,ESP32-C6,pipe,start,2025-03-25T13:34:30.731240747Z
,ESP32-C6,pipe,stop,2025-03-25T13:42:06.416106993Z
,ESP32-C6,pipe,start,2025-03-25T13:43:32.311596376Z
,ESP32-C6,pipe,stop,2025-03-25T13:50:38.097082546Z
,ESP32-C6,pipe,start,2025-03-25T13:52:19.810243574Z
,ESP32-C6,pipe,stop,2025-03-25T13:57:51.246453725Z
,ESP32-C6,pipe,start,2025-03-25T14:07:37.817253119Z
,ESP32-C6,pipe,stop,2025-03-25T14:53:44.743355266Z
,ESP32-C6,pipe,start,2025-03-25T14:53:46.281288607Z
,ESP32-C6,pipe,stop,2025-03-25T14:57:31.891012793Z
,ESP32-C6,pipe,start,2025-03-25T15:14:04.548836892Z
,ESP32-C6,pipe,stop,2025-03-25T15:26:24.596362255Z
,ESP32-C6,pipe,start,2025-03-25T15:31:37.516719657Z
,ESP32-C6,pipe,stop,2025-03-25T15:40:10.765934368Z
,ESP32-C6,pipe,start,2025-03-25T15:45:18.385335492Z
,ESP32-C6,pipe,stop,2025-03-25T15:50:38.786113364Z
,ESP32-C6,pipe,start,2025-03-25T16:23:54.256695727Z
,ESP32-C6,pipe,stop,2025-03-25T16:37:00.189928713Z
,ESP32-C6,pipe,start,2025-03-25T16:37:07.84120456Z
,ESP32-C6,pipe,stop,2025-03-25T16:46:22.636385959Z
,ESP32-C6,pipe,start,2025-03-25T16:46:23.794916093Z
,ESP32-C6,pipe,stop,2025-03-25T16:58:33.280202601Z
,ESP32-C6,pipe,start,2025-03-25T16:58:35.327206075Z
,ESP32-C6,pipe,stop,2025-03-25T17:07:18.210372554Z
,ESP32-C6,tongue,start,2025-03-25T12:15:16.178414666Z
,ESP32-C6,tongue,stop,2025-03-25T13:26:46.336649852Z
,ESP32-C6,tongue,start,2025-03-25T13:26:47.564402925Z
,ESP32-C6,tongue,stop,2025-03-25T13:58:02.106421051Z
,ESP32-C6,tongue,start,2025-03-25T14:07:36.472036987Z
,ESP32-C6,tongue,stop,2025-03-25T14:57:33.518176806Z
,ESP32-C6,tongue,start,2025-03-25T15:14:05.576756071Z
,ESP32-C6,tongue,stop,2025-03-25T15:50:39.91636167Z
,ESP32-C6,tongue,start,2025-03-25T16:23:55.476464608Z
,ESP32-C6,tongue,stop,2025-03-25T17:07:19.514658558Z
