Timestamp(ns),Value,MotorActive
1741798857034868000,3.75,false
1741798857038854000,-1.48,false
1741798857042854000,-4.95,false
1741798857046861000,-3.01,false
1741798857050900000,3.50,false
1741798857054854000,2.23,false
1741798857058854000,-0.37,false
1741798857062854000,-3.99,false
1741798857066861000,-2.15,false
1741798857070900000,1.25,false
1741798857074854000,2.87,false
1741798857078854000,-0.02,false
1741798857082854000,-6.38,false
1741798857086861000,-3.44,false
1741798857090869000,-1.53,false
1741798857094854000,-1.17,false
1741798857098854000,-3.83,false
1741798857102854000,-7.22,false
1741798857106861000,-6.78,false
1741798857110869000,-1.21,false
1741798857114854000,-0.32,false
1741798857118854000,-1.97,false
1741798857122854000,-5.45,false
1741798857126861000,-3.30,false
1741798857130869000,-1.43,false
1741798857134854000,0.46,false
1741798857138932000,-4.69,false
1741798857142854000,-6.69,false
1741798857146861000,-3.44,false
1741798857150869000,-0.13,false
1741798857154854000,1.41,false
1741798857158854000,-1.82,false
1741798857162854000,-6.29,false
1741798857166861000,-4.80,false
1741798857170869000,-1.27,false
1741798857174854000,0.90,false
1741798857178854000,-1.45,false
1741798857182854000,-5.31,false
1741798857186861000,-2.90,false
1741798857190869000,-1.12,false
1741798857194854000,-1.24,false
1741798857198854000,-3.72,false
1741798857202854000,-6.78,false
1741798857206861000,-4.81,false
1741798857210869000,1.55,false
1741798857214854000,1.34,false
1741798857218854000,-1.33,false
1741798857222854000,-6.31,false
1741798857226861000,-3.18,false
1741798857230869000,-0.21,false
1741798857234854000,1.87,false
1741798857238856000,-3.52,false
1741798857242855000,-6.58,false
1741798857246861000,-3.89,false
1741798857250871000,-1.86,false
1741798857254854000,-0.84,false
1741798857258854000,-3.11,false
1741798857262854000,-5.98,false
1741798857266861000,-2.02,false
1741798857270869000,1.79,false
1741798857274854000,2.13,false
1741798857278854000,-1.70,false
1741798857282854000,-6.95,false
1741798857286861000,-4.40,false
1741798857290871000,-1.82,false
1741798857294854000,-0.97,false
1741798857298854000,-2.97,false
1741798857302854000,-6.54,false
1741798857306861000,-4.39,false
1741798857310869000,2.30,false
1741798857314854000,1.16,false
1741798857318854000,-1.95,false
1741798857322854000,-5.45,false
1741798857326863000,-2.17,false
1741798857330870000,1.20,false
1741798857334854000,2.01,false
1741798857338854000,-4.51,false
1741798857342854000,-7.15,false
1741798857346862000,-4.52,false
1741798857350874000,-2.14,false
1741798857354854000,-0.75,false
1741798857358854000,-3.17,false
