#group,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,string,double,double,double,double,dateTime:RFC3339,double
#default,,,,,,,,,,,,,
,SSID,bottom_load,device,gas_resistance,humidity,load,location,pipeTemp,pipe_temp,pressure,temperature,time,top_load
,Ståle  sin iPhone,,ESP32,111014,13.01,,,18.75,,994.46,23.58,2025-03-11T16:27:35.950832435Z,0.03
,Ståle  sin iPhone,,ESP32,111304,13,,,18.75,,994.45,23.58,2025-03-11T16:27:38.811500735Z,0.03
,Ståle  sin iPhone,,ESP32,111741,12.99,,,18.75,,994.45,23.58,2025-03-11T16:27:41.696593414Z,0.03
,Ståle  sin iPhone,,ESP32,112626,12.99,,,18.81,,994.45,23.59,2025-03-11T16:27:44.654288167Z,0
,Ståle  sin iPhone,,ESP32,113676,12.99,,,18.81,,994.45,23.59,2025-03-11T16:27:47.480529741Z,0.04
,Ståle  sin iPhone,,ESP32,112999,12.99,,,18.81,,994.46,23.59,2025-03-11T16:27:53.167086729Z,-0.01
,Ståle  sin iPhone,,ESP32,113450,12.99,,,18.81,,994.46,23.58,2025-03-11T16:27:56.016397665Z,0.01
,Ståle  sin iPhone,,ESP32,112478,12.98,,,18.81,,994.45,23.58,2025-03-11T16:27:59.013526812Z,0.02
,Ståle  sin iPhone,,ESP32,113374,12.96,,,18.81,,994.44,23.58,2025-03-11T16:28:02.062044314Z,0.04
,Ståle  sin iPhone,,ESP32,112849,12.97,,,18.87,,994.44,23.58,2025-03-11T16:28:04.936602978Z,0
,Ståle  sin iPhone,,ESP32,113074,12.95,,,18.87,,994.45,23.58,2025-03-11T16:28:07.995966977Z,0.05
,Ståle  sin iPhone,,ESP32,112849,12.96,,,18.87,,994.45,23.58,2025-03-11T16:28:10.969430038Z,0.02
,Ståle  sin iPhone,,ESP32,112849,12.95,,,18.87,,994.45,23.58,2025-03-11T16:28:14.343599579Z,0.02
,Ståle  sin iPhone,,ESP32,112478,12.95,,,18.94,,994.44,23.58,2025-03-11T16:28:17.584954552Z,0
,Ståle  sin iPhone,,ESP32,111741,12.95,,,18.94,,994.44,23.58,2025-03-11T16:28:20.524274031Z,0.05
,Ståle  sin iPhone,,ESP32,111814,12.95,,,18.94,,994.43,23.58,2025-03-11T16:28:23.585628142Z,-0.01
,Ståle  sin iPhone,,ESP32,112700,12.95,,,18.94,,994.43,23.58,2025-03-11T16:28:26.441139415Z,0.02
,Ståle  sin iPhone,,ESP32,113299,12.93,,,18.94,,994.43,23.58,2025-03-11T16:28:29.325085269Z,0.02
