#group,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,double,string,double,double,double,string,double,double,double,double,dateTime:RFC3339,double
#default,,,,,,,,,,,,,
,SSID,bottom_load,device,gas_resistance,humidity,load,location,pipeTemp,pipe_temp,pressure,temperature,time,top_load
,Ståle  sin iPhone,,ESP32,50513,24.76,,,23.75,,1000.11,24.92,2025-03-25T12:39:43.806714653Z,0.02
,Ståle  sin iPhone,,ESP32,48613,24.44,,,23.75,,1000.12,24.67,2025-03-25T12:39:46.884072096Z,0.02
,Ståle  sin iPhone,,ESP32,46511,24.54,,,23.75,,1000.12,24.48,2025-03-25T12:39:50.051271381Z,0.02
,Ståle  sin iPhone,,ESP32,45812,25.4,,,23.81,,1000.12,24.34,2025-03-25T12:39:53.016334064Z,0.03
,Ståle  sin iPhone,,ESP32,46360,25.81,,,23.75,,1000.12,24.23,2025-03-25T12:39:55.985970044Z,0.04
,Ståle  sin iPhone,,ESP32,48039,25.58,,,23.75,,1000.12,24.15,2025-03-25T12:39:58.864252419Z,-0.01
,Ståle  sin iPhone,,ESP32,48976,25.25,,,23.75,,1000.13,24.09,2025-03-25T12:40:01.726563036Z,0.02
,Ståle  sin iPhone,,ESP32,49718,24.97,,,23.75,,1000.13,24.04,2025-03-25T12:40:04.686555402Z,0.04
,Ståle  sin iPhone,,ESP32,50068,24.74,,,23.75,,1000.13,24.01,2025-03-25T12:40:07.557198844Z,0.03
,Ståle  sin iPhone,,ESP32,50393,24.62,,,23.75,,1000.13,23.98,2025-03-25T12:40:10.434348256Z,0.05
,Ståle  sin iPhone,,ESP32,50572,24.55,,,23.75,,1000.13,23.96,2025-03-25T12:40:13.285120183Z,0.01
,Ståle  sin iPhone,,ESP32,50844,24.45,,,23.75,,1000.13,23.95,2025-03-25T12:40:16.157055727Z,0.05
,Ståle  sin iPhone,,ESP32,50753,24.38,,,23.69,,1000.13,23.93,2025-03-25T12:40:19.119876643Z,0.03
,Ståle  sin iPhone,,ESP32,50844,24.4,,,23.75,,1000.13,23.92,2025-03-25T12:40:21.994159506Z,0.03
,Ståle  sin iPhone,,ESP32,50874,24.39,,,23.69,,1000.13,23.92,2025-03-25T12:40:24.995044316Z,0.06
,Ståle  sin iPhone,,ESP32,50127,24.42,,,23.69,,1000.12,23.91,2025-03-25T12:40:28.051973708Z,0.03
,Ståle  sin iPhone,,ESP32,49863,24.98,,,23.69,,1000.11,23.91,2025-03-25T12:40:31.012259163Z,0.09
,Ståle  sin iPhone,,ESP32,50274,25.22,,,23.75,,1000.12,23.9,2025-03-25T12:40:33.876373288Z,0.08
,Ståle  sin iPhone,,ESP32,50662,25.15,,,23.69,,1000.13,23.9,2025-03-25T12:40:36.854433236Z,0.08
,Ståle  sin iPhone,,ESP32,50783,24.98,,,23.69,,1000.13,23.9,2025-03-25T12:40:39.816914707Z,0.07
,Ståle  sin iPhone,,ESP32,50996,24.83,,,23.69,,1000.13,23.89,2025-03-25T12:40:42.665440989Z,0.09
,Ståle  sin iPhone,,ESP32,51210,24.87,,,23.69,,1000.13,23.89,2025-03-25T12:40:45.655469184Z,0.07
,Ståle  sin iPhone,,ESP32,51612,24.78,,,23.69,,1000.12,23.89,2025-03-25T12:40:48.519891257Z,0.07
,Ståle  sin iPhone,,ESP32,51832,24.67,,,23.69,,1000.12,23.89,2025-03-25T12:40:51.36210126Z,0.08
,Ståle  sin iPhone,,ESP32,51926,24.55,,,23.69,,1000.11,23.88,2025-03-25T12:40:54.264726712Z,0.09
,Ståle  sin iPhone,,ESP32,51958,24.45,,,23.69,,1000.12,23.88,2025-03-25T12:40:57.211020266Z,0.1
,Ståle  sin iPhone,,ESP32,52599,24.37,,,23.69,,1000.12,23.88,2025-03-25T12:41:00.090467703Z,0.08
,Ståle  sin iPhone,,ESP32,52892,24.27,,,23.69,,1000.12,23.88,2025-03-25T12:41:02.96429769Z,0.06
,Ståle  sin iPhone,,ESP32,53623,24.2,,,23.69,,1000.12,23.88,2025-03-25T12:41:05.819130186Z,0.1
,Ståle  sin iPhone,,ESP32,53322,24.14,,,23.69,,1000.12,23.88,2025-03-25T12:41:08.878350041Z,0.08
,Ståle  sin iPhone,,ESP32,53189,24.16,,,23.69,,1000.12,23.87,2025-03-25T12:41:11.764732492Z,0.07
,Ståle  sin iPhone,,ESP32,53691,24.19,,,23.69,,1000.11,23.87,2025-03-25T12:41:14.625954465Z,0.09
,Ståle  sin iPhone,,ESP32,53522,24.25,,,23.69,,1000.12,23.87,2025-03-25T12:41:17.507032777Z,0.07
,Ståle  sin iPhone,,ESP32,53758,24.3,,,23.69,,1000.11,23.87,2025-03-25T12:41:20.380620837Z,0.08
,Ståle  sin iPhone,,ESP32,53962,24.31,,,23.69,,1000.12,23.87,2025-03-25T12:41:23.336096665Z,0.08
,Ståle  sin iPhone,,ESP32,54065,24.32,,,23.69,,1000.11,23.87,2025-03-25T12:41:26.214852375Z,0.11
,Ståle  sin iPhone,,ESP32,53623,24.32,,,23.69,,1000.11,23.87,2025-03-25T12:41:29.15219297Z,0.09
,Ståle  sin iPhone,,ESP32,53388,24.32,,,23.69,,1000.12,23.87,2025-03-25T12:41:32.026975699Z,0.07
,Ståle  sin iPhone,,ESP32,53422,24.29,,,23.69,,1000.12,23.87,2025-03-25T12:41:34.886345373Z,0.09
,Ståle  sin iPhone,,ESP32,53123,24.27,,,23.62,,1000.13,23.87,2025-03-25T12:41:37.784928641Z,0.09
,Ståle  sin iPhone,,ESP32,53024,24.24,,,23.69,,1000.13,23.87,2025-03-25T12:41:40.846848286Z,0.08
