#group,false,false,false,false,false,false,false
#datatype,string,double,double,string,double,dateTime:RFC3339,double
#default,,,,,,,
,SSID,core,core2,device,pipe,time,water
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:56:51.206839654Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:56:53.558987268Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:56:56.042856356Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:56:58.375297578Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:00.629480481Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:02.977811689Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:05.335940439Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:07.687702847Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:09.94713159Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:12.308264225Z,22.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:14.54886518Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:16.808779399Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:19.166742633Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:21.416831666Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23,2025-03-12T12:57:23.668272932Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T12:57:26.018032064Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:28.477616933Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:30.739097351Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:32.986594042Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:35.337919145Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:37.587699038Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:57:39.837762406Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:44.858752938Z,23
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:47.10768853Z,33
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:49.467576721Z,35.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:51.718340935Z,37
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:54.075651571Z,38
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:56.436784939Z,39
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:57:58.804617763Z,39.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:01.148653044Z,40
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:03.917097766Z,40.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:06.783263697Z,40.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:09.144715963Z,41
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:11.47868852Z,41
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:13.738834693Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:16.087477197Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:18.455853858Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:20.905243773Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:23.159001983Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:25.415620432Z,41.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:27.774956133Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:30.126294522Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:32.47758639Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:34.831204559Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:37.088396979Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:39.445601927Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:41.68857161Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:43.939529428Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:46.207331124Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:48.568686188Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:50.917546658Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:53.158543429Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:55.414809057Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24.5,2025-03-12T12:58:57.775542537Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:00.02066072Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:02.380598276Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:04.73835707Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:07.088468963Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:09.438613867Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:11.806408041Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:14.048724548Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:16.408351431Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:18.866336247Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:21.118712077Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:23.475774512Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:25.736035967Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:28.277977002Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:30.641571098Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:32.896194103Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:35.255246399Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:37.505991477Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:39.748090496Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:44.776651669Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:47.235838734Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:49.484962465Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:51.728547862Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:53.998413785Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:56.337840106Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T12:59:58.595530197Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:00.948170682Z,42.5
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:03.418821238Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:05.868435148Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:08.243700053Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:10.678809234Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:13.044743648Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:15.404958559Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:17.874817049Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:20.300378757Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:22.558710075Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:24.816083149Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:27.065940472Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:29.435201113Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:31.768537346Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,24,2025-03-12T13:00:34.138238087Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:39.354763444Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:41.716053441Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:44.058466586Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:46.325579921Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:48.685944525Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:51.028516693Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:53.386304364Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:55.62837332Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:00:57.906442038Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:01:00.245457483Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:01:02.496029487Z,42
,Ståle  sin iPhone,22.5,23,ESP32-C6,23.5,2025-03-12T13:01:04.858313128Z,42
